Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
PC,Action,Take-Two Interactive,"0,4","0,74",0,"0,09","1,23",M,Excelente
PS3,Sports,Electronic Arts,"0,3","0,64","0,07","0,22","1,23",E,Excelente
PS3,Role-Playing,Namco Bandai Games,"0,29","0,18","0,67","0,09","1,22",T,Bueno
DS,Racing,Nintendo,"1,09","0,03",0,"0,09","1,22",E,Aceptable
GC,Sports,Nintendo,"0,58","0,16","0,46","0,03","1,22",E,Excelente
GBA,Role-Playing,Nintendo,"0,61","0,27","0,27","0,07","1,22",E,Excelente
X,Shooter,Take-Two Interactive,"0,98","0,19",0,"0,05","1,22",M,Excelente
XOne,Shooter,Electronic Arts,"0,73","0,37","0,01","0,11","1,22",M,Bueno
PS2,Sports,Sega,"0,59","0,46","0,01","0,15","1,22",E,Excelente
PS2,Racing,Electronic Arts,"0,6","0,46",0,"0,16","1,22",E,Excelente
PS2,Racing,THQ,"1,01","0,04",0,"0,16","1,21",E,Bueno
X,Misc,Microsoft Game Studios,"0,93","0,24",0,"0,04","1,21",E,Aceptable
X,Shooter,Activision,"0,78","0,4",0,"0,04","1,21",T,Bueno
DS,Simulation,Square Enix,"0,51","0,04","0,62","0,05","1,21",E10+,Excelente
PSP,Shooter,LucasArts,"1,05","0,05","0,01","0,1","1,21",T,Aceptable
3DS,Fighting,Capcom,"0,55","0,44","0,14","0,09","1,21",T,Excelente
PS2,Platform,Sony Computer Entertainment,"1,03","0,14",0,"0,04","1,21",E,Excelente
PS,Action,Virgin Interactive,"0,34","0,49","0,28","0,1","1,21",M,Excelente
PS3,Fighting,Namco Bandai Games,"0,42","0,46","0,15","0,18","1,21",T,Bueno
GC,Racing,Electronic Arts,"0,69","0,48","0,01","0,03","1,21",E,Excelente
PS3,Shooter,Electronic Arts,"0,25","0,69","0,03","0,25","1,21",T,Bueno
PS3,Action,Sega,"0,44","0,39","0,21","0,16","1,21",M,Excelente
Wii,Puzzle,Electronic Arts,"0,71","0,38",0,"0,12","1,21",E,Excelente
Wii,Simulation,Electronic Arts,"0,44","0,63",0,"0,14","1,2",T,Bueno
PS2,Action,Black Label Games,"0,59","0,46",0,"0,15","1,2",T,Malo
XOne,Shooter,Activision,"0,86","0,23",0,"0,12","1,2",T,Excelente
PS2,Racing,SouthPeak Games,1,"0,04",0,"0,16","1,2",E,Bueno
PS3,Racing,Codemasters,"0,12","0,74","0,11","0,24","1,2",E,Excelente
GC,Strategy,Nintendo,"0,48","0,13","0,56","0,03","1,2",E,Excelente
PS3,Action,Warner Bros. Interactive Entertainment,"0,5","0,51",0,"0,2","1,2",E10+,Excelente
PSP,Racing,THQ,"0,72","0,28",0,"0,2","1,2",E,Aceptable
X,Action,Atari,"0,72","0,43","0,01","0,04","1,2",T,Aceptable
PSP,Sports,Electronic Arts,"0,13","0,69","0,01","0,36","1,2",E,Aceptable
PS2,Sports,Electronic Arts,"0,59","0,46",0,"0,15","1,2",E,Excelente
GBA,Racing,THQ,"0,86","0,32",0,"0,02","1,19",E,Malo
GBA,Platform,THQ,"0,92","0,23",0,"0,04","1,19",E,Bueno
Wii,Sports,Konami Digital Entertainment,"0,09","0,84","0,11","0,15","1,19",E,Excelente
PS2,Action,Vivendi Games,"0,99","0,04",0,"0,16","1,19",M,Bueno
X,Action,Eidos Interactive,"0,76","0,38",0,"0,05","1,19",M,Excelente
PSP,Fighting,THQ,"0,45","0,47",0,"0,28","1,19",T,Aceptable
PS3,Fighting,Warner Bros. Interactive Entertainment,"0,49","0,5","0,01","0,2","1,19",T,Bueno
GC,Action,Activision,"0,86","0,27","0,01","0,04","1,19",E,Bueno
DS,Puzzle,Nintendo,"0,73","0,03","0,36","0,07","1,19",E,Bueno
PSP,Action,Konami Digital Entertainment,"0,38","0,35","0,38","0,08","1,19",M,Excelente
DC,Adventure,Sega,"0,52","0,24","0,38","0,04","1,18",T,Excelente
X360,Misc,Ubisoft,"0,9","0,19",0,"0,09","1,18",E10+,Bueno
GBA,Sports,Activision,"0,85","0,31",0,"0,02","1,18",E,Excelente
PS3,Action,Namco Bandai Games,"0,01","0,23","0,86","0,08","1,18",T,Aceptable
PS2,Shooter,Activision,"0,98","0,04",0,"0,16","1,17",M,Bueno
PS2,Platform,Electronic Arts,"0,57","0,45",0,"0,15","1,17",E,Aceptable
PSP,Action,LucasArts,"0,4","0,48",0,"0,29","1,17",E10+,Bueno
Wii,Adventure,Nintendo,"0,53","0,16","0,42","0,06","1,17",E,Aceptable
PC,Role-Playing,Bethesda Softworks,"0,59","0,45",0,"0,14","1,17",M,Excelente
PS3,Action,Capcom,"0,48","0,24","0,36","0,1","1,17",M,Malo
PS3,Fighting,THQ,"0,53","0,45","0,02","0,17","1,17",T,Bueno
PS2,Sports,Zoo Digital Publishing,"0,57","0,45",0,"0,15","1,17",T,Malo
PS3,Fighting,THQ,"0,48","0,48","0,01","0,2","1,17",T,Excelente
X,Shooter,Electronic Arts,"0,76","0,36",0,"0,05","1,17",T,Aceptable
PS3,Shooter,Electronic Arts,"0,74","0,26","0,02","0,15","1,17",M,Bueno
PC,Strategy,Electronic Arts,"0,03","1,06",0,"0,08","1,17",E10+,Excelente
GBA,Puzzle,Nintendo,"0,68","0,25","0,21","0,02","1,17",E,Excelente
3DS,Action,Nintendo,"0,56","0,33","0,18","0,09","1,16",E,Bueno
PS3,Action,LucasArts,"0,52","0,46",0,"0,19","1,16",E10+,Bueno
PS2,Racing,Take-Two Interactive,"0,97","0,04",0,"0,16","1,16",E10+,Excelente
PS2,Shooter,Ubisoft,"0,57","0,44",0,"0,15","1,16",T,Aceptable
XOne,Sports,Electronic Arts,"0,42","0,66",0,"0,09","1,16",E,Excelente
PS,Fighting,Sony Computer Entertainment,"0,39","0,27","0,43","0,08","1,16",T,Excelente
X360,Platform,Electronic Arts,"0,51","0,51","0,01","0,13","1,16",T,Bueno
PS3,Platform,Sega,"0,41","0,06","0,04","0,66","1,16",E10+,Malo
PS2,Racing,Electronic Arts,"0,57","0,44",0,"0,15","1,16",E,Excelente
X360,Sports,Ubisoft,"0,7","0,36",0,"0,1","1,16",E,Bueno
X360,Action,Electronic Arts,"0,59","0,45","0,01","0,1","1,16",M,Malo
PSP,Role-Playing,Square Enix,"0,45","0,24","0,3","0,16","1,16",T,Excelente
X360,Shooter,City Interactive,"0,54","0,5",0,"0,12","1,16",M,Malo
DS,Platform,Sega,"0,53","0,48","0,01","0,12","1,15",E,Bueno
PC,Simulation,Sega,0,"1,14",0,"0,01","1,15",E,Excelente
PS2,Action,Midway Games,"0,56","0,44",0,"0,15","1,15",T,Bueno
PSP,Shooter,Electronic Arts,"0,5","0,39","0,02","0,25","1,15",T,Aceptable
PS4,Sports,Take-Two Interactive,"0,39","0,57",0,"0,19","1,15",T,Aceptable
PS2,Shooter,Empire Interactive,"0,56","0,44",0,"0,15","1,15",M,Malo
PSP,Sports,Electronic Arts,"0,16","0,67","0,01","0,31","1,15",E,Excelente
GC,Misc,Nintendo,"0,5","0,16","0,46","0,03","1,15",E,Bueno
PC,Shooter,Activision,0,"1,12",0,"0,03","1,15",M,Excelente
PS2,Platform,THQ,"0,56","0,44",0,"0,15","1,15",E,Aceptable
PSV,Role-Playing,Atlus,"0,37","0,24","0,38","0,16","1,14",M,Excelente
XOne,Shooter,Microsoft Game Studios,"0,64","0,4",0,"0,1","1,14",M,Excelente
PS2,Action,Activision,"0,44","0,34","0,25","0,11","1,14",M,Bueno
PS2,Action,Sony Computer Entertainment,"0,78","0,03","0,2","0,13","1,14",T,Excelente
PS,Role-Playing,SquareSoft,"0,25","0,17","0,65","0,07","1,14",E,Excelente
3DS,Action,Nintendo,"0,47","0,26","0,35","0,07","1,14",E10+,Malo
PS3,Action,Eidos Interactive,"0,57","0,32","0,09","0,16","1,14",M,Excelente
PS3,Sports,Take-Two Interactive,"0,49","0,46",0,"0,19","1,14",T,Bueno
PS3,Action,Activision,"0,43","0,51","0,02","0,19","1,14",T,Aceptable
PS2,Simulation,Konami Digital Entertainment,"0,95","0,04",0,"0,16","1,14",E10+,Bueno
PS4,Fighting,Namco Bandai Games,"0,32","0,53","0,13","0,16","1,14",T,Aceptable
X,Action,Electronic Arts,"0,71","0,38",0,"0,05","1,14",T,Excelente
PS3,Sports,Sony Computer Entertainment,"0,31","0,03","0,76","0,04","1,14",E,Excelente
PS4,Shooter,Sega,"0,35","0,57","0,04","0,18","1,14",M,Bueno
PS2,Simulation,Atari,"0,12","0,1","0,88","0,03","1,14",T,Bueno
WiiU,Strategy,Nintendo,"0,45","0,33","0,29","0,07","1,13",E10+,Excelente
X,Simulation,Microsoft Game Studios,"1,01","0,1",0,"0,03","1,13",T,Excelente
WiiU,Platform,Nintendo,"0,49","0,44","0,13","0,08","1,13",E10+,Excelente
WiiU,Fighting,Namco Bandai Games,"0,56","0,32","0,18","0,09","1,13",E10+,Bueno
GBA,Racing,THQ,"0,81","0,3",0,"0,02","1,13",E,Malo
3DS,Action,LucasArts,"0,61","0,43",0,"0,09","1,13",E10+,Aceptable
PS4,Racing,Slightly Mad Studios,"0,23","0,7","0,03","0,17","1,13",E,Excelente
X,Shooter,Ubisoft,"0,99","0,12",0,"0,02","1,13",M,Excelente
PS3,Misc,Ubisoft,"0,53","0,36","0,09","0,15","1,13",T,Excelente
PS3,Platform,Electronic Arts,"0,31","0,58","0,02","0,22","1,13",T,Bueno
X360,Misc,Activision,"0,65","0,37",0,"0,11","1,13",T,Excelente
3DS,Role-Playing,Nintendo,"0,33","0,37","0,37","0,06","1,13",E10+,Bueno
PS3,Misc,Sony Computer Entertainment,"0,45","0,56",0,"0,12","1,13",T,Excelente
PS2,Racing,Activision,"0,55","0,43",0,"0,14","1,12",E,Malo
Wii,Platform,Ubisoft,"0,25","0,74",0,"0,14","1,12",E10+,Bueno
X360,Misc,Ubisoft,"0,84","0,19","0,01","0,08","1,12",T,Bueno
PS3,Racing,Sony Computer Entertainment,"0,5","0,4","0,06","0,16","1,12",E,Excelente
PSP,Shooter,Sony Computer Entertainment,"1,03",0,"0,01","0,08","1,12",M,Excelente
X,Shooter,Activision,"0,66","0,4",0,"0,05","1,12",T,Bueno
PS2,Misc,Activision,"0,28","0,3",0,"0,54","1,12",T,Bueno
PC,Sports,Russel,0,"1,12",0,0,"1,12",E,Excelente
PS3,Action,Sega,"0,21","0,2","0,62","0,08","1,12",M,Bueno
X,Action,Activision,"0,82","0,26",0,"0,04","1,12",T,Excelente
X360,Shooter,Microsoft Game Studios,"0,63","0,36","0,02","0,1","1,12",M,Aceptable
PS3,Misc,MTV Games,"0,67","0,29",0,"0,15","1,12",T,Excelente
X360,Action,Electronic Arts,"0,72","0,29","0,01","0,09","1,11",M,Bueno
X,Shooter,Microsoft Game Studios,"0,85","0,23",0,"0,04","1,11",M,Bueno
PS2,Misc,RedOctane,"0,92","0,04",0,"0,15","1,11",T,Aceptable
PS3,Fighting,Electronic Arts,"0,45","0,49",0,"0,18","1,11",M,Excelente
PS2,Misc,Electronic Arts,"0,71","0,06",0,"0,35","1,11",T,Excelente
X,Action,Ubisoft,"0,68","0,38",0,"0,05","1,11",M,Excelente
X360,Sports,Take-Two Interactive,"0,64","0,37",0,"0,1","1,11",T,Bueno
PS4,Action,Bethesda Softworks,"0,41","0,51","0,01","0,18","1,1",M,Excelente
PS3,Action,Konami Digital Entertainment,"0,5","0,35","0,1","0,15","1,1",M,Excelente
DS,Strategy,Mastertronic,"0,9","0,12",0,"0,08","1,1",E10+,Excelente
GC,Role-Playing,Nintendo,"0,54","0,21","0,31","0,04","1,1",T,Excelente
Wii,Racing,Electronic Arts,"0,53","0,45",0,"0,12","1,1",E10+,Aceptable
PS3,Racing,Codemasters,"0,31","0,56","0,03","0,2","1,1",E,Excelente
X360,Shooter,Electronic Arts,"0,45","0,52","0,01","0,12","1,1",T,Bueno
PS,Role-Playing,Sony Computer Entertainment,"0,26","0,1","0,72","0,02","1,1",E,Excelente
Wii,Platform,Sega,"0,64","0,34","0,01","0,11","1,09",E10+,Malo
X360,Shooter,Electronic Arts,"0,52","0,48",0,"0,09","1,09",E10+,Aceptable
X360,Sports,Electronic Arts,"1,01",0,0,"0,08","1,09",E,Bueno
WiiU,Action,Nintendo,"0,59","0,32","0,09","0,09","1,09",T,Excelente
PS2,Adventure,Sega,"0,05","0,04","0,84","0,16","1,09",M,Bueno
PS3,Misc,Activision,"0,53","0,39",0,"0,17","1,09",T,Excelente
X360,Racing,Sega,"0,75","0,25",0,"0,09","1,09",E,Malo
GBA,Role-Playing,Atari,"0,78","0,29",0,"0,02","1,09",E,Bueno
Wii,Shooter,Electronic Arts,"0,91","0,09",0,"0,09","1,09",E10+,Aceptable
DC,Sports,Sega,"1,02","0,05",0,"0,02","1,09",E,Excelente
PSP,Role-Playing,Activision,"0,54","0,33","0,01","0,22","1,09",T,Aceptable
X,Sports,Electronic Arts,"1,02","0,02",0,"0,05","1,09",E,Excelente
PS2,Action,Electronic Arts,"0,89","0,03","0,01","0,15","1,09",M,Bueno
PS2,Shooter,LucasArts,"0,53","0,42",0,"0,14","1,09",T,Aceptable
PS3,Fighting,THQ,"0,44","0,46","0,01","0,18","1,09",T,Bueno
X360,Action,Electronic Arts,"1,02",0,0,"0,07","1,09",E,Bueno
X360,Sports,Electronic Arts,"0,82","0,17","0,01","0,09","1,09",T,Excelente
PC,Strategy,Sega,"0,01","0,97",0,"0,1","1,09",T,Excelente
PS2,Racing,Electronic Arts,"0,53","0,41",0,"0,14","1,08",E,Excelente
PSP,Misc,Sony Computer Entertainment,"0,75","0,18",0,"0,16","1,08",E10+,Bueno
PS3,Fighting,Sega,"0,29","0,51","0,08","0,2","1,08",T,Excelente
PS3,Action,Electronic Arts,"0,64","0,28","0,04","0,13","1,08",M,Bueno
PS2,Shooter,Ubisoft,"0,64","0,34",0,"0,1","1,08",T,Malo
PSP,Action,LucasArts,"0,43","0,4",0,"0,24","1,08",T,Aceptable
GBA,Fighting,Atari,"0,77","0,29",0,"0,02","1,08",T,Malo
GC,Shooter,Nintendo,"0,68","0,18","0,19","0,03","1,08",T,Aceptable
PS4,Platform,Ubisoft,"0,22","0,69",0,"0,17","1,07",E10+,Excelente
PSP,Action,Electronic Arts,"0,24","0,54",0,"0,3","1,07",T,Malo
DS,Action,LucasArts,"0,96","0,03",0,"0,08","1,07",E,Malo
Wii,Sports,Electronic Arts,"0,26","0,69",0,"0,12","1,07",E,Bueno
PS2,Shooter,Activision,"0,89","0,03",0,"0,15","1,07",T,Excelente
PS3,Action,Ubisoft,"0,47","0,4","0,03","0,17","1,07",T,Excelente
Wii,Sports,THQ,"0,86","0,12",0,"0,09","1,07",E,Bueno
X360,Fighting,Capcom,"0,79","0,18","0,03","0,07","1,07",T,Excelente
X360,Action,Eidos Interactive,"0,53","0,42","0,01","0,11","1,07",T,Bueno
X360,Misc,Activision,"0,57","0,39",0,"0,11","1,07",T,Excelente
X360,Sports,Konami Digital Entertainment,"0,08","0,9","0,04","0,05","1,07",E,Bueno
Wii,Sports,Electronic Arts,"0,6","0,36",0,"0,11","1,07",E,Excelente
PS2,Fighting,Namco Bandai Games,"0,74","0,15","0,13","0,05","1,07",T,Excelente
PS3,Role-Playing,Square Enix,"0,31","0,2","0,45","0,11","1,07",T,Aceptable
PSP,Sports,Sony Computer Entertainment,"0,1","0,63",0,"0,34","1,07",E,Aceptable
PS3,Fighting,Namco Bandai Games,"0,49","0,34","0,09","0,15","1,07",T,Bueno
PSP,Action,Take-Two Interactive,"0,28","0,49","0,03","0,27","1,07",M,Excelente
PS2,Fighting,Midway Games,"0,88","0,04",0,"0,14","1,06",M,Bueno
PS2,Racing,Electronic Arts,"0,52","0,41",0,"0,14","1,06",E,Excelente
DS,Simulation,Electronic Arts,"0,66","0,3",0,"0,1","1,06",E,Aceptable
PS3,Shooter,Electronic Arts,"0,28","0,58",0,"0,21","1,06",M,Excelente
X360,Action,Take-Two Interactive,"0,53","0,4","0,03","0,11","1,06",T,Excelente
PS3,Action,Activision,"0,37","0,49",0,"0,2","1,06",E10+,Bueno
PS2,Sports,Electronic Arts,"0,52","0,41",0,"0,14","1,06",E,Excelente
PS2,Action,Universal Interactive,"0,52","0,41",0,"0,14","1,06",T,Bueno
PS4,Shooter,Electronic Arts,"0,46","0,38","0,05","0,17","1,06",M,Excelente
Wii,Adventure,Nintendo,"0,43","0,46","0,09","0,09","1,06",E,Bueno
X360,Shooter,Sega,"0,55","0,4",0,"0,11","1,06",M,Aceptable
PC,Role-Playing,Vivendi Games,"1,03","0,02",0,0,"1,06",M,Excelente
GBA,Action,Activision,"0,76","0,28",0,"0,02","1,06",E,Aceptable
PS2,Racing,Play It,"0,52","0,4",0,"0,14","1,06",T,Aceptable
X360,Action,THQ,"0,67","0,28","0,01","0,1","1,06",M,Excelente
X360,Shooter,Electronic Arts,"0,65","0,3","0,01","0,1","1,06",T,Bueno
PS3,Simulation,Sony Computer Entertainment,"0,49","0,39",0,"0,17","1,06",T,Excelente
PS3,Racing,Codemasters,"0,27","0,57","0,01","0,2","1,06",T,Excelente
PS3,Action,Warner Bros. Interactive Entertainment,"0,37","0,49",0,"0,19","1,05",E10+,Excelente
PS4,Sports,Electronic Arts,"0,46","0,41","0,01","0,18","1,05",T,Aceptable
Wii,Sports,Sega,"0,28","0,65",0,"0,13","1,05",E10+,Bueno
PS3,Racing,Codemasters,"0,16","0,66",0,"0,23","1,05",E,Excelente
DS,Shooter,Activision,"0,95","0,01","0,01","0,08","1,05",T,Bueno
Wii,Action,Capcom,"0,46","0,31","0,2","0,09","1,05",M,Bueno
PSP,Shooter,Sony Computer Entertainment,"0,81","0,11",0,"0,13","1,05",T,Excelente
DS,Platform,Take-Two Interactive,"0,97","0,01",0,"0,07","1,05",E,Malo
PS2,Sports,Sega,"0,51","0,4",0,"0,13","1,05",E,Excelente
X,Racing,Electronic Arts,"0,78","0,26",0,"0,01","1,05",T,Aceptable
PS,Sports,Acclaim Entertainment,"0,91","0,11",0,"0,03","1,05",E,Excelente
X,Racing,Microsoft Game Studios,"0,52","0,51",0,"0,02","1,05",E,Excelente
PS3,Sports,Sega,"0,23","0,58","0,03","0,21","1,05",E,Excelente
PS2,Sports,Electronic Arts,"0,51","0,4",0,"0,13","1,04",E,Excelente
PS,Action,Eidos Interactive,"0,58","0,4",0,"0,07","1,04",T,Excelente
X360,Fighting,THQ,"0,56","0,37","0,01","0,1","1,04",T,Excelente
PS3,Action,Square Enix,"0,31","0,49","0,05","0,19","1,04",M,Excelente
GC,Fighting,Nintendo,"0,44","0,12","0,45","0,03","1,04",T,Bueno
PS2,Simulation,Konami Digital Entertainment,"0,87","0,03",0,"0,14","1,04",E10+,Bueno
PS3,Shooter,Sega,"0,41","0,46",0,"0,18","1,04",M,Aceptable
GBA,Racing,Nintendo,"0,39","0,16","0,37","0,12","1,04",E,Excelente
X360,Platform,Sega,"0,44","0,48",0,"0,11","1,04",E10+,Malo
X,Racing,Electronic Arts,"0,53","0,46",0,"0,05","1,04",T,Excelente
X360,Action,Electronic Arts,"0,54","0,39",0,"0,11","1,04",T,Bueno
PS3,Racing,Codemasters,"0,12","0,63","0,05","0,23","1,04",E,Excelente
X360,Shooter,Bethesda Softworks,"0,59","0,35","0,01","0,09","1,03",T,Aceptable
PS2,Racing,THQ,"0,86","0,03",0,"0,14","1,03",E,Bueno
3DS,Platform,Sega,"0,44","0,49","0,01","0,09","1,03",E,Aceptable
PSP,Racing,Sony Computer Entertainment,"0,47","0,34",0,"0,23","1,03",E,Excelente
PS3,Action,THQ,"0,55","0,32","0,03","0,13","1,03",T,Excelente
X360,Action,Disney Interactive Studios,"0,54","0,39",0,"0,09","1,03",E10+,Bueno
PS3,Shooter,Ubisoft,"0,34","0,48","0,02","0,19","1,03",T,Excelente
DS,Platform,Nintendo,"0,7","0,05","0,21","0,07","1,03",E,Bueno
Wii,Sports,Electronic Arts,"0,32","0,59","0,01","0,12","1,03",E,Aceptable
Wii,Action,Warner Bros. Interactive Entertainment,"0,46","0,47",0,"0,11","1,03",E10+,Aceptable
Wii,Adventure,Electronic Arts,"0,62","0,32",0,"0,1","1,03",E,Bueno
PS2,Sports,Electronic Arts,"0,5","0,39",0,"0,13","1,03",E,Excelente
PS3,Action,Activision,"0,44","0,42",0,"0,17","1,03",E10+,Bueno
PC,Action,Eidos Interactive,"0,96","0,07",0,0,"1,03",M,Excelente
PS,Fighting,Virgin Interactive,"0,38","0,12","0,51","0,02","1,03",T,Excelente
3DS,Action,Nintendo,"0,3","0,18","0,5","0,05","1,03",E,Excelente
PSP,Racing,Sony Computer Entertainment,"0,16","0,57",0,"0,29","1,02",T,Bueno
Wii,Action,Disney Interactive Studios,"0,65","0,28",0,"0,1","1,02",E10+,Aceptable
Wii,Misc,Ubisoft,"0,26","0,65",0,"0,12","1,02",E10+,Malo
Wii,Sports,Electronic Arts,"0,93","0,01",0,"0,08","1,02",E,Bueno
Wii,Fighting,Atari,"0,32","0,36","0,26","0,09","1,02",T,Bueno
PS3,Platform,Activision,"0,44","0,42",0,"0,17","1,02",E10+,Excelente
GC,Platform,Activision,"0,73","0,26","0,01","0,03","1,02",E,Aceptable
X360,Shooter,Ubisoft,"0,87","0,05","0,02","0,08","1,02",T,Excelente
PS3,Platform,Sega,"0,56","0,32","0,01","0,14","1,02",E10+,Malo
X360,Action,Activision,"0,62","0,31",0,"0,09","1,02",E10+,Bueno
X360,Shooter,Electronic Arts,"0,61","0,32","0,01","0,08","1,02",M,Excelente
X,Sports,Electronic Arts,"0,97","0,03",0,"0,03","1,02",E,Excelente
Wii,Misc,MTV Games,"0,93","0,01",0,"0,08","1,02",T,Excelente
PS2,Action,Electronic Arts,"0,5","0,39",0,"0,13","1,02",E,Aceptable
DS,Role-Playing,Nintendo,"0,56","0,05","0,37","0,04","1,02",E,Excelente
Wii,Platform,THQ,"0,51","0,4",0,"0,11","1,02",E,Malo
Wii,Fighting,Tomy Corporation,"0,44","0,46",0,"0,11","1,01",T,Bueno
X360,Simulation,Atari,"0,69","0,04","0,22","0,06","1,01",T,Excelente
X360,Action,Ubisoft,"0,59","0,34",0,"0,09","1,01",M,Bueno
WiiU,Action,Ubisoft,"0,52","0,36","0,05","0,08","1,01",M,Bueno
Wii,Action,Electronic Arts,"0,45","0,46",0,"0,11","1,01",T,Aceptable
X360,Action,Tecmo Koei,"0,65","0,22","0,05","0,1","1,01",M,Excelente
X360,Action,Ubisoft,"0,54","0,34","0,02","0,1","1,01",T,Excelente
PS2,Racing,Empire Interactive,"0,49","0,38",0,"0,13",1,E,Malo
Wii,Shooter,Electronic Arts,"0,93",0,0,"0,07",1,E10+,Aceptable
PSP,Action,Sony Computer Entertainment,"0,41","0,35","0,03","0,21",1,M,Excelente
X,Fighting,Namco Bandai Games,"0,78","0,18","0,03",0,1,T,Excelente
X360,Misc,Ubisoft,"0,73","0,17",0,"0,1",1,E10+,Bueno
PS3,Platform,Ubisoft,"0,33","0,49","0,01","0,17",1,E10+,Excelente
PS2,Action,Tecmo Koei,"0,13","0,1","0,74","0,03",1,T,Bueno
PS3,Simulation,Sony Computer Entertainment,"0,36","0,52","0,04","0,09",1,E,Aceptable
X,Sports,Microsoft Game Studios,"0,74","0,21",0,"0,04","0,99",E,Bueno
X360,Sports,Electronic Arts,"0,94",0,0,"0,06","0,99",E,Excelente
X360,Action,THQ,"0,72","0,2",0,"0,08","0,99",T,Excelente
DS,Platform,Nintendo,"0,48","0,06","0,41","0,05","0,99",E,Excelente
PS3,Shooter,Ubisoft,"0,49","0,33","0,02","0,15","0,99",M,Malo
PS,Platform,GT Interactive,"0,55","0,38",0,"0,06","0,99",T,Excelente
PS4,Sports,Electronic Arts,"0,32","0,51",0,"0,16","0,99",T,Bueno
PS3,Racing,Codemasters,"0,27","0,52",0,"0,19","0,99",T,Excelente
PS2,Action,Sony Computer Entertainment,"0,3","0,23","0,38","0,08","0,99",T,Aceptable
PS3,Misc,Activision,"0,73","0,15",0,"0,11","0,99",T,Aceptable
GC,Platform,Sega,"0,76","0,2",0,"0,03","0,99",E10+,Malo
DS,Adventure,Capcom,"0,28","0,04","0,64","0,03","0,99",T,Bueno
PSP,Simulation,Namco Bandai Games,"0,37","0,3","0,12","0,19","0,99",T,Bueno
PS3,Action,Disney Interactive Studios,"0,51","0,32",0,"0,16","0,99",E10+,Bueno
X360,Role-Playing,Namco Bandai Games,"0,64","0,27",0,"0,09","0,99",M,Excelente
PS4,Shooter,Take-Two Interactive,"0,37","0,41","0,05","0,15","0,98",M,Bueno
PSP,Racing,Take-Two Interactive,"0,52","0,27",0,"0,19","0,98",T,Bueno
PSP,Sports,Konami Digital Entertainment,"0,02","0,53","0,19","0,25","0,98",E,Excelente
X360,Sports,Take-Two Interactive,"0,89","0,02",0,"0,08","0,98",E,Excelente
PS3,Role-Playing,Namco Bandai Games,"0,28","0,18","0,45","0,07","0,98",T,Bueno
Wii,Sports,Electronic Arts,"0,23","0,64",0,"0,11","0,98",E,Bueno
PC,Role-Playing,Bethesda Softworks,"0,02","0,88",0,"0,08","0,98",M,Excelente
GBA,Misc,Nintendo,"0,5","0,19","0,28","0,02","0,98",E,Malo
DS,Strategy,THQ,"0,86","0,03","0,01","0,08","0,98",E,Malo
X360,Action,Ubisoft,"0,57","0,32","0,01","0,08","0,98",M,Excelente
X360,Action,Electronic Arts,"0,64","0,26",0,"0,08","0,98",M,Bueno
Wii,Fighting,THQ,"0,38","0,5",0,"0,11","0,98",T,Malo
PS2,Role-Playing,Konami Digital Entertainment,"0,29","0,23","0,38","0,08","0,98",T,Excelente
X360,Action,Warner Bros. Interactive Entertainment,"0,51","0,38",0,"0,09","0,98",E10+,Bueno
X,Sports,Electronic Arts,"0,73","0,21",0,"0,03","0,97",E,Excelente
PC,Action,Take-Two Interactive,0,"0,93",0,"0,04","0,97",M,Excelente
PS3,Sports,Electronic Arts,"0,89","0,01",0,"0,08","0,97",E,Excelente
GBA,Strategy,Nintendo,"0,49","0,18","0,29","0,01","0,97",E,Excelente
X360,Action,Electronic Arts,"0,62","0,26",0,"0,09","0,97",M,Excelente
PS2,Sports,Electronic Arts,"0,47","0,37",0,"0,12","0,97",E,Excelente
PS2,Action,Take-Two Interactive,"0,78","0,03","0,03","0,13","0,97",M,Bueno
3DS,Sports,Nintendo,"0,26","0,3","0,35","0,05","0,97",E,Aceptable
PS3,Action,Electronic Arts,"0,45","0,36",0,"0,16","0,97",M,Bueno
X,Sports,Electronic Arts,"0,33","0,6",0,"0,04","0,97",E,Excelente
PC,Role-Playing,Electronic Arts,"0,4","0,44",0,"0,12","0,97",M,Excelente
DS,Racing,THQ,"0,85","0,04",0,"0,07","0,97",E,Malo
Wii,Misc,Activision,"0,59","0,29",0,"0,09","0,97",E10+,Bueno
X360,Action,Activision,"0,53","0,34",0,"0,1","0,97",E10+,Bueno
GC,Action,LucasArts,"0,75","0,19",0,"0,03","0,97",E10+,Excelente
PS,Shooter,Electronic Arts,"0,54","0,37",0,"0,06","0,97",T,Excelente
PC,Shooter,Ubisoft,"0,22","0,63",0,"0,12","0,96",M,Excelente
PS2,Role-Playing,Sony Computer Entertainment,"0,38","0,25","0,26","0,07","0,96",T,Excelente
PC,Action,Namco Bandai Games,"0,25","0,56",0,"0,15","0,96",M,Excelente
Wii,Misc,Activision,"0,47","0,41",0,"0,09","0,96",T,Bueno
PS2,Sports,Electronic Arts,"0,47","0,37",0,"0,12","0,96",E,Excelente
PC,Simulation,Focus Home Interactive,0,"0,81",0,"0,15","0,96",E,Aceptable
Wii,Platform,THQ,"0,49","0,37",0,"0,1","0,96",E,Excelente
PS2,Platform,Sony Computer Entertainment,"0,36","0,28","0,22","0,09","0,96",M,Bueno
